premise	hypothesis	label
he absorbed the knowledge or beliefs of his tribe.	he mentally assimilated the knowledge or beliefs of his tribe .	entailment
he absorbed the costs for the accident.	he paid for the costs for the accident .	entailment
the sales tax is absorbed into the state income tax.	the sales tax is incorporated into the state income tax .	entailment
the immigrants were quickly absorbed into society.	the immigrants were quickly assimilated into society .	entailment
her interest in butterflies absorbs her completely.	her interest in butterflies engages her completely .	entailment
you must adhere to the rules.	you must obey the rules .	entailment
the residents of this village adhered to catholicism.	the residents of this village were devoted in belief to catholicism .	entailment
this problem admits of no solution	this problem allows for no solution	entailment
she aired her opinions on welfare	she openly discussed her opinions on welfare	entailment
this idea will never amount to anything	this idea will never be worth anything	entailment
the steering of my new car answers to the slightest touch	the steering of my new car is sensitive to the slightest touch	entailment
i attacked the problem as soon as i got out of bed	i tried solving the problem as soon as i got out of bed	entailment
which horse are you backing?	which horse are you betting on ?	entailment
she was besieged by so many problems that she got discouraged	she was surrounded by so many problems that she got discouraged	entailment
she tended to blast when speaking into a microphone	she tended to be loud when speaking into a microphone	entailment
meteors blazed across the atmosphere.	meteors moved quickly across the atmosphere .	entailment
the distinction between the two theories blurred	the distinction between the two theories became unclear	entailment
don't bolt your food!	don't swallow your food without chewing !	entailment
the government bowed to the military pressure	the government acquiesced to the military pressure	entailment
he breathed new life into the old house	he brought new life into the old house	entailment
our new synthetic fabric breathes and is perfect for summer wear	our new synthetic fabric exchanges gases with the environment and is perfect for summer wear	entailment
this rare bordeaux must be allowed to breathe for at least 2 hours	this rare bordeaux must be allowed to be exposed to the air for at least 2 hours	entailment
this office is buzzing with activity	this office is full of activity	entailment
he buzzed the servant	he communicated with the servant by means of a buzzer	entailment
she captured all the men's hearts	she charmed all the men	entailment
the judge clapped him in jail	the judge hastily put him in jail	entailment
they clawed their way to the top of the mountain.	they physically exerted themselves to climb to the top of the mountain	entailment
she clawed the doorknob.	she grabbed the doorknob with her fingertips .	entailment
the politician clawed his rival.	the politician flattered his rival .	entailment
sales were climbing after prices were lowered	sales were steadily increasing after prices were lowered	entailment
the path climbed all the way to the top of the hill	the path extended all the way to the top of the hill	entailment
this young man knows how to climb the social ladder	this young man knows how to improve his position in the social hierarchy	entailment
prices climbed steeply	prices went up steeply	entailment
the market is being clogged by these operations	the market is being hindered by these operations	entailment
fear clogged her mind	fear impeded her thoughts	entailment
my personal feelings color my judgment in this case	my personal feelings influence my judgment in this case	entailment
his political ideas color his lectures	his political ideas influence his lectures	entailment
the rooms communicated	the rooms were connected to each other	entailment
his devotion to his sick wife condemned him to a lonely existence	his devotion to his sick wife made him have a lonely existence	entailment
the fire consumed the building	the fire overtook the building	entailment
the comedian convulsed the crowd	the comedian created great laughter in the crowd	entailment
you can count on me to help you any time	you can trust me to help you any time	entailment
the old cheese was crawling with maggots	the old cheese had maggots crawling on it	entailment
the speech crowned the meeting	the speech completed the meeting	entailment
a weather vane crowns the building	a weather vane sits atop the building	entailment
she was crushed by his refusal of her invitation	she was saddened by his refusal of her invitation	entailment
seurat culminated pointillism.	seurat was the climax of pointillism .	entailment
dashed by the refusal	disheartened by the refusal	entailment
it dawned on him that she had betrayed him	he realized that she had betrayed him	entailment
the age of computers had dawned	the age of computers had begun	entailment
the bad review of his work deflated his self-confidence	the bad review of his work diminished his self-confidence	entailment
the new measures deflated the economy	the new measures lowered the general level of prices in the economy	entailment
the glut of oil depressed gas prices	the glut of oil reduced gas prices	entailment
the lack of rain had depressed the water level in the reservoir	the lack of rain had lowered the water level in the reservoir	entailment
she designed a good excuse for not attending classes that day.	she came up with a good excuse for not attending classes that day .	entailment
fire had devoured our home	fire had decimated our home	entailment
she devoured his novels	she avidly read his novels	entailment
i cannot digest all this information	i cannot comprehend all this information	entailment
the government digested the entire law into a code	the government arranged the entire law into a code	entailment
he downed three martinis before dinner.	he drank three martinis before dinner.	entailment
some people can down a pound of meat in the course of one meal.	some people can swallow a pound of meat in the course of one meal.	entailment
stock prices are drifting higher	stock prices are steadily moving higher	entailment
my son drifted around for years in california before going to law school	my son wandered around for years in california before going to law school	entailment
the stock market drifted upward	the stock market steadily moved upward	entailment
the mother drinks in every word of her son on the stage	the mother is completely attentive to every word of her son on the stage	entailment
i was drowned in work	i was overwhelmed by work	entailment
she drowned her trouble in alcohol	she covered up her trouble with alcohol	entailment
middle age dulled her appetite for travel	middle age lessened her desire for travel	entailment
the company dumped him after many years of service	the company fired him after many years of service	entailment
some nice results emerged from the study	some nice results happened as a result of the study	entailment
the event engraved itself into her memory	the event was added firmly into her memory	entailment
the turks erased the armenians in 1915	the turks eradicated the armenians in 1915	entailment
the boss exploded when he heard of the resignation of the secretary	the boss became very angry when he heard of the resignation of the secretary	entailment
the middle east is fermenting	the middle east is becoming more agitated	entailment
fill the child with pride	make the child feel proud	entailment
every star seemed to flare with new intensity.	every star seemed to shine with new intensity	entailment
the night sky flared with the massive bombardment.	the night sky lit up with the massive bombardment.	entailment
the latest intelligence is flashed to all command posts	the latest intelligence is communicated quickly to all command posts	entailment
the father flicked him with his hand.	the father hit him swiftly with his hand.	entailment
the republicans are floating the idea of a tax reform	the republicans are proposing the idea of a tax reform	entailment
the dancer floated across the stage	the dancer moved fluidly across the stage	entailment
the government floated the ruble for a few months	the government allowed the value of the ruble to be determined by the markets for a few months	entailment
the crowd flowed out of the stadium	the crowd moved as a liquid out of the stadium	entailment
the sky flushed with rosy splendor	the sky glowed with rosy splendor	entailment
form the young child's character	develop the young child's character	entailment
the press was gagged	the press was silenced	entailment
the moon glared back at itself from the lake's surface	the moon showed its reflection in the lake's surface	entailment
the sun glared down on us	the sun shone brightly down on us	entailment
her face glowed when she came out of the sauna	her face shined when she came out of the sauna	entailment
this story will grab you	this story will interest you	entailment
the conversation gravitated towards politics	the subject of the conversation changed to politics	entailment
his mind groped to make the connection	his mind attempted to make the connection	entailment
the heavy rain guttered the soil.	the heavy rain made channels in the soil.	entailment
harmonize one's goals with one's abilities	make one's goals compatible with one's abilities	entailment
these rivers head from a mountain range in the himalayas	these rivers originate from a mountain range in the himalayas	entailment
the wheat headed early this year	the wheat came up from the soil early this year	entailment
he heaped him with work	he burdened him with work	entailment
the oscillator hunts about the correct frequency	the oscillator moves in a state of instability about the correct frequency	entailment
the ostentatious way of living of the rich ignites the hatred of the poor	the ostentatious way of living of the rich triggers the hatred of the poor	entailment
their language inclines us to believe them	their language makes us consider believing them	entailment
his laughter infects everyone who is in the same room	his laughter spreads to everyone who is in the same room	entailment
the charges were inflated	the charges were exaggerated	entailment
inflate the currency	increase the quantity of the currency	entailment
he injected new life into the performance	he brought novelty into the performance	entailment
she had to juggle her job and her children	she had to manage her job and her children at the same time	entailment
the gun kicked back into my shoulder.	the gun recoiled into my shoulder.	entailment
the businessman kited millions of dollars	the businessman stole millions of dollars	entailment
this may land you in jail	this may result in your being in jail	entailment
lay the foundation for a new health care plan	make the start for a new health care plan	entailment
lay a responsibility on someone	give someone a responsibility	entailment
the news were leaked to the paper	the news were revealed secretly to the paper	entailment
the news leaked out despite his secrecy	the news was revealed publicly despite his secrecy	entailment
‘ Westerns have a gladiatorial , timeless quality .	Westerns have a violent-like-gladiator-combat , timeless quality .	entailment
£45,000 was the asking price and I was not surprised that the sale , so to speak , hung fire .	£45,000 was the asking price and I was not surprised that the sale , so to speak , was delayed .	entailment
Primal Scream Not a name which would lead you to expect self-absorbed acoustic doodlings .	Primal Scream Not a name which would lead you to expect self-absorbed acoustic pieces of music .	entailment
London 's leading pair , as if piqued by this , turned 30 September into the longest afternoon .	London 's leading pair , as if annoyed by this , turned 30 September into the longest afternoon .	entailment
The voice at the other end was plainly over-excited and it took him a minute to disentangle what he was being told .	The voice at the other end was plainly over-excited and it took him a minute to separate into discrete units what he was being told .	entailment
A fly landed on the empty , staring vizor , and crawled across it .	A fly landed on the empty , shiny vizor , and crawled across it .	entailment
The stains on the carpet have survived every name change .	The stains on the carpet have outlasted every name change .	entailment
Paula perched herself against the cutting table trying to look nonchalant .	Paula stayed in an elevated position against the cutting table trying to look nonchalant .	entailment
Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not succumbed to rust , and you can buy with confidence .	Find a 1980 Toyota Corolla or 1982 Nissan Sunny that has not yielded to rust , and you can buy with confidence .	entailment
The hollow barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	The muffled barking of a dog came from one of the stone sheds , but there was no sign of life around the buildings .	entailment
Recently , of course , there has been an added dimension — part media-and-politician inflated , part real : drugs .	Recently , of course , there has been an added dimension — part given excessive and meaningless words by media and politicians , part real : drugs .	entailment
Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union immunities .	Second , it would ensure that workers enjoyed positive rights under law and reduce the emphasis of union exemptions from specified duties .	entailment
Exhausted .	Very tired .	entailment
They win their parents over with a rose-tinted vision of the world which is decidedly reassuring .	They win their parents over with an optimistic vision of the world which is decidedly reassuring .	entailment
No matter ; only the accents change — and the pants : here , the squares wear slacks , the good guys blue-jeans .	No matter ; only the accents change — and the pants : here , the socially conventional people wear slacks , the good guys blue-jeans .	entailment
Other organizations could not be absorbed but could still be brought within the Central Office orbit .	Other organizations could not be incorporated but could still be brought within the Central Office orbit .	entailment
Nor , if we are in civilised cast of mind , because we wish to become drunk .	Nor , if we are in civilised mindset , because we wish to become drunk .	entailment
Was it even now shadowing them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	Was it even now secretly following them , moving soundlessly from cover to cover , like a tiger in the steel jungle ?	entailment
Berry 's songs are plausible emblems of rock'n'roll rebellion or , at any rate , youthful hedonism .	Berry 's songs are plausible representations of rock'n'roll rebellion or , at any rate , youthful hedonism .	entailment
seems to be wide awake could of got up	seems to be awake and very alert could of got up	entailment
A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to smother the shot .	A neat step-over by Rocastle sent Thomas hurtling in on goal but Rhodes moved sharply off his line to get in the way of the shot .	entailment
Well I reckon she lived er a couple of years after the stroke Gordon .	Well I suppose she lived er a couple of years after the stroke Gordon .	entailment
‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said tartly .	‘ We 've had more paperwork , not less , since the trust took over , ’ Buzz said severely .	entailment
You might have assumed this was the police bluffing and bullying .	You might have assumed this was the police scaring with a false show of strength and bullying .	entailment
Save you , save you carrying them .	Except for you , except for you carrying them .	entailment
She fell asleep to the sound of music drifting upwards from the drawing-room .	She fell asleep to the sound of music emanating from the drawing-room .	entailment
You have to hope that its blankness will slowly dissolve and let life in .	You have to hope that its blankness will slowly clear away and let life in .	entailment
The disposal of toxic wastes is one of the most intractable problems facing industrialised societies .	The disposal of toxic wastes is one of the most difficult problems for industrialised societies to solve .	entailment
Let puritans and pessimists damn , disapprove or dismiss these appetites ; that is their loss .	Let puritans and pessimists damn , disapprove or dismiss these strong desires ; that is their loss .	entailment
Avon treads warily .	Avon proceeds warily .	entailment
Despite many and varied flurries of activity in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	Despite many and varied sudden activities in the first 40 minutes , Arsenal seemed reasonably secure if not inspired .	entailment
No golden light bathed the red brick of the house .	No golden light surrounded the red brick of the house .	entailment
Does the ‘ grievous bodily harm ’ rule extend the definition of murder too far ?	Does the ‘ grievous bodily harm ’ rule add too much to the definition of murder ?	entailment
Adam closed the front door and stood there for a moment as if he could not wrench himself away .	Adam closed the front door and stood there for a moment as if he could not pull himself away .	entailment
This was conveniently encapsulated in the first try .	This was conveniently summarized briefly in the first try .	entailment
But ‘ posturing and pretending ’ went far beyond the unions .	But ‘ pretending to have an opinion ’ went far beyond the unions .	entailment
Second , it would consolidate the image and essence of the Intifada as a constructive , not a destructive , force .	Second , it would strengthen the image and essence of the Intifada as a constructive , not a destructive , force .	entailment
And the Spirit ,  stooping  earthward ,	And the Spirit , lowering itself earthward ,	entailment
Traced  a winding pathway for it ,	Lightly drew a winding pathway for it ,	entailment
Then a snow-white cloud  unfolding  ,	Then a snow-white cloud developing ,	entailment
Till it  touched  the top of heaven ,	Till it reached the top of heaven ,	entailment
Now you  find  that we are strongest ,	Now you discover that we are strongest ,	entailment
Only  made  the fire burn brighter ,	Only caused the fire to burn brighter ,	entailment
Touched  the rugged hills with smoothness ,	Added smoothness to the rugged hills ,	entailment
On their tracks his eyes were  fastened  ,	On their tracks his eyes were fixated ,	entailment
And his heart within him  fluttered  ,	And his heart within him pumped rapidly ,	entailment
Filled  with awe was Hiawatha	Experiencing great awe was Hiawatha	entailment
Filled  with joy was Mudjekeewis	Experiencing great joy was Mudjekeewis	entailment
Saw his youth  rise  up before him	Saw his youth rebel before him	entailment
You bring back the days  departed  ,	You bring back the days past ,	entailment
You  bring  back my youth of passion ,	You restore my youth of passion ,	entailment
In the days long since  departed  ,	In the days long since past ,	entailment
Fill  the fiery brains of young men ?	Occupy the fiery brains of young men ?	entailment
At his touch he  felt  new courage	At his touch he experienced new courage	entailment
Till the darkness  fell  around them ,	Till the darkness surrounded them ,	entailment
Taking  shape when earth it touches ,	Assuming shape when earth it touches ,	entailment
Till the darkness  fell  around them ,	Till the darkness surrounded them ,	entailment
Till the darkness  falls  around us ,	Till the darkness surrounds us ,	entailment
Fearing lest his strength should  fail  him ,	Fearing lest he should lose his strength ,	entailment
Round about him  spun  the landscape ,	Round about him enveloped the landscape ,	entailment
And his strong heart  leaped  within him ,	And he became very happy ,	entailment
Blazed  and flared the red horizon ,	Shone like fire and flared the red horizon ,	entailment
Blazed and  flared  the red horizon ,	Blazed and shone out suddenly the red horizon ,	entailment
And  made  known unto the people	And made the people know about	entailment
Straight between them  ran  the pathway ,	Straight between them extended the pathway ,	entailment
Could not  breed  ill-will between them ,	Could not create ill-will between them ,	entailment
For they  kept  each other 's counsel ,	For they listened to each other 's advice ,	entailment
Now he  stirred  their souls to passion ,	Now he made their souls passionate ,	entailment
Now he  melted  them to pity .	Now he humbled them to pity .	entailment
All the hearts of men were  softened	All the men were made kinder and gentler	entailment
For his strength  allied  to goodness .	For his strength united with goodness .	entailment
Rose , but  made  no angry answer ;	Rose , but gave no angry answer ,	entailment
Where a brooklet  led  them onward ,	Where they followed a brooklet onward ,	entailment
To their challenge  made  no answer ,	To their challenge gave no answer ,	entailment
For the Summer-time is  coming  ,	For the Summer-time will soon begin ,	entailment
Went  a sound , a cry of horror ,	A sound let out , a cry of horror ,	entailment
For his thoughts as paddles  served  him ,	For his thoughts functioned as paddles for him ,	entailment
And his wishes  served  to guide him ;	And his wishes were useful for guiding him ;	entailment
And his wishes served to  guide  him ;	And his wishes served to give him a sense of direction ;	entailment
Till the waves  washed  through the rib-bones ,	Till the waves flowed through the rib-bones ,	entailment
With their fiery breath  made  answer :	With their fiery breath gave an answer :	entailment
Till the level moon  stared  at him	Till the level moon shone constantly on him	entailment
Harmless  fell  the blows he dealt it	Harmless landed the blows he dealt it	entailment
Harmless  fell  the heavy war-club ;	Harmless struck the heavy war-club ;	entailment
From whose branches  trailed  the mosses ,	From whose branches hanged the mosses ,	entailment
Him , who  sent  the fiery fever ,	Him who gave the fiery fever ,	entailment
And his heart  outran  his footsteps ;	And his heart lasted longer than his footsteps ;	entailment
And then  added  , speaking slowly ,	And then said additionally , speaking slowly ,	entailment
And  made  answer very gravely :	And gave an answer very gravely :	entailment
"Let your heart  speak  , Minnehaha ! """	Speak sincerely , Minnehaha !	entailment
Though his pace he  checked  and slackened	Though his pace he limited and slackened	entailment
Though his pace he checked and  slackened	Though his pace he checked and gradually decreased in intensity	entailment
That the time might  pass  more gayly ,	That the time might progress more gayly ,	entailment
That the time may  pass  more gayly ,	That the time may progress more gayly ,	entailment
That the time may  pass  more gayly ,	That the time may advance more gayly ,	entailment
As the springs to  meet  the sunshine ,	As the springs to be exposed to the sunshine ,	entailment
When the clouds  drop  shadows on it !	When the clouds make shadows on it !	entailment
Then my troubled heart is  brightened  ,	Then my troubled heart is made more cheerful ,	entailment
Jealous of the applause they  gave  him ,	Jealous of the applause they made for him ,	entailment
Would you only  give  him credence ,	Would you only believe him ,	entailment
That the time may  pass  more gayly ,	That the time may advance more gayly ,	entailment
All the water  flushed  with crimson !	All the water given a crimson color !	entailment
And they  felt  it rising , rising ,	And they experienced it rising , rising	entailment
And they felt it  rising  , rising ,	And they felt it increasing, increasing	entailment
Could not  see  your heart of passion ,	Could not experience your heart of passion	entailment
Of the happy days that  followed  ,	Of the happy days that occurred afterward	entailment
Robed  with darkness as a garment .	Surrounded by darkness like a garment	entailment
Till the tree-tops  shook  with laughter ,	Till the tree-tops shook from the laughter of creatures on them	entailment
When the noiseless night  descended	When the noiseless night began	entailment
Guskewau , the darkness ,  wrapped  her	Guskewau , the darkness , surrounded her	entailment
Till the cornfields  rang  with laughter ,	Till the cornfields reverberated with laughter	entailment
And the song this shape  suggested	And the song this shape reminded one of	entailment
Such the spell I  cast  upon you ,	Such the spell I made upon you	entailment
Covered  all the earth with silence ,	Made everything on the earth silent	entailment
Came  the Spring , and all the forest	Began the Spring , and all the forest	entailment
As the clouds are  swept  from heaven ,	As the clouds are cleared from heaven	entailment
As the ice is  swept  from rivers ,	As the ice is carried from rivers	entailment
Far above him  swam  the heavens ,	Far above him things moved in the heavens	entailment
"That my vengeance shall not  reach  him ! """	That my vengeance shall not affect him !	entailment
With reserve he thus  made  answer :	With reserve he thus gave an answer	entailment
Till it  drew  itself together ,	Till it pulled itself together	entailment
Till it  took  the form and features	Till it acquired the form and features	entailment
With his war-club  smote  the doorways ,	With his war-club struck the doorways	entailment
Fell  a drowsiness on Kwasind ;	Kwasind experienced a drowsiness	entailment
Raged and  roared  the wintry tempest ,	Raged and made a loud resounding noise the wintry tempest	entailment
So disasters  come  not singly ;	So disasters occur not singly	entailment
Not a change  came  o'er their features ;	Not a change happened to their features	entailment
We have  put  you to the trial ,	We have made you undergo the trial	entailment
Fell , and could not  rise  from weakness ,	Fell , and could not improve their situation from weakness	entailment
Hid her face , but  made  no answer ;	Hid her face , but gave no answer	entailment
At the looks they  cast  upon her ,	At the looks they gave to her	entailment
Let us  pass  the night together ,	Let us spend the night together	entailment
All the meadows  wave  with blossoms ,	All the meadows move back and forth repeatedly with blossoms	entailment
While they spake , the night  departed  :	While they spake , the night ended	entailment
Came  the Spring with all its splendor ,	The Spring happened with all its splendor	entailment
Fell  the sunshine on his features ,	Shone the sunshine on his features	entailment
Fell  the evening 's dusk and coolness ,	Began the evening 's dusk and coolness	entailment
Torments him ; round he  throws  his baleful eyes	Torments him ; round he looks with his baleful eyes	entailment
And rest can never  dwell  , hope never comes	And rest can never stay , hope never comes	entailment
And rest can never dwell , hope never  comes	And rest can never dwell , hope is never felt	entailment
he absorbed the knowledge or beliefs of his tribe.	he learned the knowledge or beliefs of his tribe.	entailment
he absorbed the costs for the accident.	he took the costs for the accident.	entailment
the sales tax is absorbed into the state income tax.	the sales tax is incorporated into the state income tax.	entailment
the immigrants were quickly absorbed into society.	the immigrants were quickly assimilated into society.	entailment
you must adhere to the rules.	you must obey the rules.	entailment
the residents of this village adhered to catholicism.	the residents of this village were religious about catholicism.	entailment
this problem admits of no solution	this problem has no solution	entailment
she aired her opinions on welfare	she broadcasted her opinions on welfare	entailment
this idea will never amount to anything	this idea will never become anything	entailment
i attacked the problem as soon as i got out of bed	i dealt with the problem as soon as i got out of bed	entailment
which horse are you backing?	which horse are you supporting?	entailment
she was besieged by so many problems that she got discouraged	she was overwhelmed by so many problems that she got discouraged	entailment
meteors blazed across the atmosphere.	meteors burned across the atmosphere.	entailment
the distinction between the two theories blurred	the distinction between the two theories became less dinstinguishable 	entailment
don't bolt your food!	don't eat your food too fast!	entailment
the government bowed to the military pressure	the government succumb to the military pressure	entailment
he breathed new life into the old house	he brought new life into the old house	entailment
our new synthetic fabric breathes and is perfect for summer wear	our new synthetic fabric allows sweat to evaporate and is perfect for summer wear	entailment
this rare bordeaux must be allowed to breathe for at least 2 hours	this rare bordeaux must be allowed to be exposed to the air for at least 2 hours	entailment
this office is buzzing with activity	this office is full of activity	entailment
he buzzed the servant	he signalled the servant with a buzz	entailment
she captured all the men's hearts	she made all the men fall in love with her	entailment
the judge clapped him in jail	the judge sentenced him to stay in jail	entailment
they clawed their way to the top of the mountain.	they climbed their way to the top of the mountain.	entailment
she clawed the doorknob.	she scratched the doorknob with nails.	entailment
the politician clawed his rival.	the politician harmed his rival politically.	entailment
sales were climbing after prices were lowered	sales were increasing after prices were lowered	entailment
the path climbed all the way to the top of the hill	the path ascended all the way to the top of the hill	entailment
prices climbed steeply	prices increased steeply	entailment
the market is being clogged by these operations	the market is being obstructed by these operations	entailment
fear clogged her mind	fear impaired her mind	entailment
my personal feelings color my judgment in this case	my personal feelings affect my judgment in this case	entailment
his political ideas color his lectures	his political ideas make his lectures biased	entailment
the rooms communicated	the rooms were interconnected 	entailment
his devotion to his sick wife condemned him to a lonely existence	his devotion to his sick wife caused him to have a lonely existence	entailment
her feelings condensed	her feelings became more compact	entailment
the fire consumed the building	the fire destroyed the building	entailment
the comedian convulsed the crowd	the comedian caused the crowd to shake violently because of laughter	entailment
you can count on me to help you any time	you can have confidence in me to help you any time	entailment
the old cheese was crawling with maggots	the old cheese was covered by maggots	entailment
the speech crowned the meeting	the speech culminated the meeting	entailment
a weather vane crowns the building	a weather vane is on the top of the building	entailment
she was crushed by his refusal of her invitation	she was depressed by his refusal of her invitation	entailment
seurat culminated pointillism.	seurat brought pointillism to its best.	entailment
dashed by the refusal	discourged by the refusal	entailment
it dawned on him that she had betrayed him	it became apparent to him that she had betrayed him	entailment
the age of computers had dawned	the age of computers had started	entailment
the bad review of his work deflated his self-confidence	the bad review of his work reduced his self-confidence	entailment
the new measures deflated the economy	the new measures reduced activities in the economy	entailment
the glut of oil depressed gas prices	the glut of oil lowered gas prices	entailment
the lack of rain had depressed the water level in the reservoir	the lack of rain had lowered the water level in the reservoir	entailment
she designed a good excuse for not attending classes that day.	she made a good excuse for not attending classes that day.	entailment
fire had devoured our home	fire had destroyed our home	entailment
she devoured his novels	she finished reading his novels	entailment
i cannot digest all this information	i cannot understand all this information	entailment
the government digested the entire law into a code	the government summarized the entire law into a code	entailment
he downed three martinis before dinner.	he drank three martinis before dinner.	entailment
some people can down a pound of meat in the course of one meal.	some people can consume a pound of meat in the course of one meal.	entailment
stock prices are drifting higher	stock prices are varying higher	entailment
my son drifted around for years in california before going to law school	my son lived without a purpose for years in california before going to law school	entailment
the stock market drifted upward	the stock market varied upward	entailment
the mother drinks in every word of her son on the stage	the mother pays close attention to in every word of her son on the stage	entailment
i was drowned in work	i was overwhelmed by work	entailment
she drowned her trouble in alcohol	she got rid of her trouble with alcohol	entailment
middle age dulled her appetite for travel	middle age made her lose her appetite for travel	entailment
the company dumped him after many years of service	the company got rid of him after many years of service	entailment
some nice results emerged from the study	some nice results became apparent from the study	entailment
the event engraved itself into her memory	the event impressed itself into her memory	entailment
the turks erased the armenians in 1915	the turks got rid of the armenians in 1915	entailment
the boss exploded when he heard of the resignation of the secretary	the boss became outrageous when he heard of the resignation of the secretary	entailment
the middle east is fermenting	the middle east is changing gradually 	entailment
fill the child with pride	make the child proud	entailment
the night sky flared with the massive bombardment.	the night sky was brightened with the massive bombardment.	entailment
the latest intelligence is flashed to all command posts	the latest intelligence is spread fast to all command posts	entailment
the republicans are floating the idea of a tax reform	the republicans are suggesting the idea of a tax reform tentatively	entailment
the dancer floated across the stage	the dancer moved lightly across the stage	entailment
the government floated the ruble for a few months	the government caused the ruble to fluctuate for a few months	entailment
the crowd flowed out of the stadium	the crowd went out of the stadium	entailment
the sky flushed with rosy splendor	the sky glowed with rosy splendor	entailment
the press was gagged	the press was silenced	entailment
the moon glared back at itself from the lake's surface	the moon reflected itself from the lake's surface	entailment
the sun glared down on us	the sun shone intensively on us	entailment
her face glowed when she came out of the sauna	her face became shining when she came out of the sauna	entailment
this story will grab you	this story will catch your attention	entailment
the conversation gravitated towards politics	the conversation gradually became relevant to politics	entailment
the heavy rain guttered the soil.	the heavy rain wore the soil to the gutter.	entailment
harmonize one's goals with one's abilities	balance one's goals with one's abilities	entailment
these rivers head from a mountain range in the himalayas	these rivers come from a mountain range in the himalayas	entailment
the wheat headed early this year	the wheat grew to the head early this year	entailment
he heaped him with work	he gave him a lot of work	entailment
the oscillator hunts about the correct frequency	the oscillator searches for the correct frequency	entailment
the ostentatious way of living of the rich ignites the hatred of the poor	the ostentatious way of living of the rich causes the hatred of the poor	entailment
their language inclines us to believe them	their language intends to cause us to believe them	entailment
his laughter infects everyone who is in the same room	his laughter affects everyone who is in the same room	entailment
the charges were inflated	the charges increased	entailment
inflate the currency	increase the amount of currency	entailment
he injected new life into the performance	he incorporated new life into the performance	entailment
she had to juggle her job and her children	she had to deal with her job and her children at the same time	entailment
